ID,sequence,coordinates,start_coordinates,strong_k,mid_k,food_k,containment,error
a1,"plate,plate_small,cup,glass,knife,spoon_small","plate: (0.008034,0.957082,0.6890539999999999);plate_small: (-0.185,0.928,0.48103500000000005);cup: (-0.525007,0.923283,0.438);glass: (-0.595001,1.233,0.468999);knife: (-0.030993,0.7334229999999999,0.530651);spoon_small: (-0.606068,0.743321,0.524829)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.723
a3,"cup,glass,wineglass,plate,cup,fork,knife,spoon","cup: (-0.525007,0.923283,0.438);glass: (-0.595001,1.233,0.468999);wineglass: (-0.196022,1.35572,0.466005);plate: (0.008034,0.957082,0.6890539999999999);cup: (-0.66,0.9232809999999999,0.438);fork: (-0.251825,0.744246,0.557668);fork: (-0.20802600000000002,0.7442439999999999,0.557671);knife: (-0.07699199999999999,0.733425,0.531662);knife: (-0.030993,0.7334229999999999,0.530651);spoon: (0.10966,0.7466,0.505875);spoon: (0.071911,0.746328,0.519848)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.785
a5,"knife,fork,spoon,fork,knife,spoon,plate,wineglass,glass","knife: (-0.07699199999999999,0.733425,0.531662);fork: (-0.165225,0.7442479999999999,0.557615);spoon: (0.146585,0.7467189999999999,0.516146);fork: (-0.251825,0.744246,0.557668);knife: (-0.030993,0.7334229999999999,0.530651);spoon: (0.10966,0.7466,0.505875);plate: (0.008034,0.957082,0.6890539999999999);plate: (0.008041,0.9296049999999999,0.68902);wineglass: (-0.196022,1.35572,0.466005);wineglass: (-0.05700499999999999,1.35572,0.46601800000000004);glass: (-0.595001,1.233,0.468999);glass: (-0.7159989999999999,1.23301,0.469001);glass: (-0.8379989999999999,1.233,0.468999)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.806
a11,"plate,fork,knife,spoon,wineglass,knife,fork,spoon,plate_small,cup,plate_small,cup,glass","plate: (0.008034,0.957082,0.6890539999999999);plate: (0.008041,0.9296049999999999,0.68902);fork: (-0.165225,0.7442479999999999,0.557615);knife: (-0.07699199999999999,0.733425,0.531662);spoon: (0.10966,0.7466,0.505875);wineglass: (0.083,1.35572,0.466);wineglass: (-0.196022,1.35572,0.466005);knife: (0.002996,0.733422,0.533535);fork: (-0.251825,0.744246,0.557668);spoon: (0.071911,0.746328,0.519848);plate_small: (-0.185,0.928,0.48103500000000005);cup: (-0.525007,0.923283,0.438);plate_small: (-0.18499200000000002,0.915077,0.481025);cup: (-0.66,0.9232809999999999,0.438);glass: (-0.595001,1.233,0.468999);glass: (-0.7159989999999999,1.23301,0.469001);glass: (-0.8379989999999999,1.233,0.468999)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.862
a13,"wineglass,plate,tray,glass,knife,fork,spoon,plate_small,cup","wineglass: (-0.196022,1.35572,0.466005);plate: (0.008034,0.957082,0.6890539999999999);tray: (-0.649,1.52939,0.68);glass: (-0.595001,1.233,0.468999);knife: (-0.030993,0.7334229999999999,0.530651);fork: (-0.165225,0.7442479999999999,0.557615);spoon: (0.10966,0.7466,0.505875);plate_small: (-0.185,0.928,0.48103500000000005);cup: (-0.525007,0.923283,0.438)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.806
a16,"plate,wineglass,fork,knife,glass","plate: (0.008034,0.957082,0.6890539999999999);plate: (0.008041,0.9296049999999999,0.68902);plate: (0.008001000000000001,0.902166,0.689002);wineglass: (-0.196022,1.35572,0.466005);wineglass: (-0.05700499999999999,1.35572,0.46601800000000004);wineglass: (0.083,1.35572,0.466);fork: (-0.251825,0.744246,0.557668);fork: (-0.165225,0.7442479999999999,0.557615);fork: (-0.20802600000000002,0.7442439999999999,0.557671);knife: (0.002996,0.733422,0.533535);knife: (-0.030993,0.7334229999999999,0.530651);knife: (-0.07699199999999999,0.733425,0.531662);glass: (-0.595001,1.233,0.468999);glass: (-0.7159989999999999,1.23301,0.469001);glass: (-0.8379989999999999,1.233,0.468999)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.666
a19,"plate,plate_small,wineglass,cup,fork_small,spoon_small","plate: (0.008034,0.957082,0.6890539999999999);plate: (0.008041,0.9296049999999999,0.68902);plate_small: (-0.18499200000000002,0.915077,0.481025);plate_small: (-0.185,0.928,0.48103500000000005);wineglass: (-0.05700499999999999,1.35572,0.46601800000000004);wineglass: (-0.196022,1.35572,0.466005);cup: (-0.66,0.9232809999999999,0.438);cup: (-0.525007,0.923283,0.438);fork_small: (-0.7940520000000001,0.7428739999999999,0.503884);fork_small: (-0.765776,0.742873,0.515548);spoon_small: (-0.500441,0.743324,0.5217109999999999);spoon_small: (-0.606068,0.743321,0.524829)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.723
a22,"cup,plate_small,plate,spoon_small,fork_small,spoon_small,knife","cup: (-0.7949970000000001,0.9232809999999999,0.438);plate_small: (-0.185,0.928,0.48103500000000005);plate_small: (-0.18499200000000002,0.915077,0.481025);plate: (0.008034,0.957082,0.6890539999999999);plate: (0.008041,0.9296049999999999,0.68902);spoon_small: (-0.606068,0.743321,0.524829);fork_small: (-0.7940520000000001,0.7428739999999999,0.503884);fork_small: (-0.765776,0.742873,0.515548);spoon_small: (-0.500441,0.743324,0.5217109999999999);knife: (-0.07699199999999999,0.733425,0.531662);knife: (-0.030993,0.7334229999999999,0.530651)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.756
a26,"wineglass,plate_small,plate,plate_small,fork,knife,knife,spoon,knife,fork","wineglass: (-0.196022,1.35572,0.466005);wineglass: (-0.05700499999999999,1.35572,0.46601800000000004);plate_small: (-0.185,0.928,0.48103500000000005);plate: (0.008034,0.957082,0.6890539999999999);plate: (0.008041,0.9296049999999999,0.68902);plate_small: (-0.18499200000000002,0.915077,0.481025);fork: (-0.251825,0.744246,0.557668);fork: (-0.20802600000000002,0.7442439999999999,0.557671);knife: (0.002996,0.733422,0.533535);knife: (-0.030993,0.7334229999999999,0.530651);spoon: (0.10966,0.7466,0.505875);spoon: (0.146585,0.7467189999999999,0.516146);spoon: (0.071911,0.746328,0.519848);knife: (-0.07699199999999999,0.733425,0.531662);fork: (-0.165225,0.7442479999999999,0.557615)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.824
a29,"plate_small,plate,wineglass,plate,wineglass,glass,cup,plate_small,cup","plate_small: (-0.185,0.928,0.48103500000000005);plate: (0.008034,0.957082,0.6890539999999999);wineglass: (-0.196022,1.35572,0.466005);plate: (0.008041,0.9296049999999999,0.68902);wineglass: (-0.05700499999999999,1.35572,0.46601800000000004);glass: (-0.7159989999999999,1.23301,0.469001);cup: (-0.525007,0.923283,0.438);plate_small: (-0.18499200000000002,0.915077,0.481025);cup: (-0.66,0.9232809999999999,0.438)","[-0.451354,-0.413918,0.156247],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74],[0.513,-0.531,0.74]",tray,"plate,plate_small",0,0,0.806
